Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8175396397,2021-04-05 00:02:16,2021-04-03 09:19:00,Milton,Washington,253,Other,Y
6026875854,2021-04-05 00:02:34,2021-03-23 13:13:00,Willowbrook,Illinois,630,Other,N
5127131248,2021-04-05 00:04:05,2021-04-01 11:40:00,Milton,Washington,253,Other,Y
7073606630,2021-04-05 00:06:30,2021-04-02 08:22:00,Santa Rosa,California,707,"Lotteries, prizes  & sweepstakes",Y
9082481362,2021-04-05 00:07:49,2021-04-03 15:36:00,Elizabeth,New Jersey,908,"Calls pretending to be government, businesses, or family and friends",Y
5139976285,2021-04-05 00:09:32,2021-04-02 19:44:00,,Massachusetts,508,Other,Y
5083869200,2021-04-05 00:12:09,2021-04-02 10:00:00,,Massachusetts,508,Other,Y
3167462339,2021-04-05 00:14:09,2021-04-02 10:59:00,Wichita,Kansas,316,"Calls pretending to be government, businesses, or family and friends",Y
9082481362,2021-04-05 00:20:12,2021-04-03 16:36:00,Garland,Texas,908,"Calls pretending to be government, businesses, or family and friends",Y
7242017806,2021-04-05 00:22:50,2021-01-27 13:02:00,Wichita,Kansas,316,Other,Y
,2021-04-05 00:27:43,2021-02-01 04:10:00,Az,Arizona,480,Other,N
3166661349,2021-04-05 00:33:06,2021-04-02 09:53:00,,California,323,Other,Y
2067664726,2021-04-05 00:33:11,2021-03-29 15:18:00,Seattle,Washington,206,Other,Y
2068796015,2021-04-05 00:35:13,2021-03-29 15:44:00,Seattle,Washington,206,Other,Y
3233421973,2021-04-05 00:36:02,2021-04-01 20:09:00,,California,323,Dropped call or no message,Y
2065578008,2021-04-05 00:36:05,2021-03-31 15:51:00,Seattle,Washington,206,Other,Y
2532043737,2021-04-05 00:38:38,2021-03-19 10:17:00,Seattle,Washington,206,"Reducing your debt (credit cards, mortgage, student loans)",Y
2062558404,2021-04-05 00:39:44,2021-03-18 13:57:00,Seattle,Washington,206,Other,Y
4259113937,2021-04-05 00:40:46,2021-03-16 16:25:00,Seattle,Washington,206,Other,Y
2062688825,2021-04-05 00:41:34,2021-03-15 13:06:00,Seattle,Washington,206,Other,Y
2063357727,2021-04-05 00:42:20,2021-03-11 15:27:00,Seattle,Washington,206,Other,Y
9783239896,2021-04-05 00:44:55,2021-04-04 02:00:00,SUMMERFIELD,Ohio,740,Other,N
7806663783,2021-04-05 00:46:24,2021-04-04 14:35:00,San Jose,California,530,Other,Y
8557546543,2021-04-05 00:46:56,2021-04-04 19:47:00,Strongsville,Ohio,330,Other,Y
7184875425,2021-04-05 00:48:05,2021-04-01 12:25:00,,New York,917,No Subject Provided,Y
4066302238,2021-04-05 00:49:40,2021-04-01 14:03:00,,New York,917,No Subject Provided,Y
5622499140,2021-04-05 00:50:19,2021-04-02 13:47:00,,Oregon,541,Dropped call or no message,Y
8173153053,2021-04-05 00:51:00,2021-04-01 13:40:00,,New York,917,No Subject Provided,Y
5413633587,2021-04-05 00:51:02,2021-04-02 10:08:00,,Oregon,541,Dropped call or no message,Y
4244400514,2021-04-05 01:00:45,2021-04-04 20:22:00,,California,650,Other,Y
8555028826,2021-04-05 01:02:48,2021-04-04 10:59:00,Liberty Corner,New Jersey,908,Other,N
9093933979,2021-04-05 01:11:32,2021-04-04 11:41:00,Pomona,California,909,Other,Y
8149251434,2021-04-05 01:17:41,2021-04-01 09:51:00,Loveland,Colorado,970,Warranties  & protection plans,Y
7206367751,2021-04-05 01:41:02,2021-03-29 15:42:00,Loveland,Colorado,970,Other,Y
9495918907,2021-04-05 01:46:06,2021-04-03 14:21:00,,California,949,Other,N
8038821250,2021-04-05 01:48:50,2021-04-03 15:38:00,,California,650,No Subject Provided,N
8582800393,2021-04-05 01:49:07,2021-04-02 09:36:00,,California,858,Other,
5703079425,2021-04-05 01:52:30,2020-12-31 11:23:00,,Pennsylvania,570,"Calls pretending to be government, businesses, or family and friends",N
5704452967,2021-04-05 01:54:19,2020-12-29 10:38:00,,Pennsylvania,570,Other,N
4158104154,2021-04-05 01:55:48,2021-04-03 08:32:00,San Francisco,California,415,Other,Y
5702306126,2021-04-05 01:55:55,2021-01-21 11:18:00,,Pennsylvania,570,Other,N
4806975610,2021-04-05 01:56:27,2021-04-03 14:52:00,Waipahu,Hawaii,808,Other,N
8006855065,2021-04-05 01:56:33,2021-03-29 12:05:00,Loveland,Colorado,970,"Reducing your debt (credit cards, mortgage, student loans)",Y
5707319378,2021-04-05 01:57:28,2021-01-18 15:05:00,,Pennsylvania,570,"Calls pretending to be government, businesses, or family and friends",N
5707319378,2021-04-05 01:58:42,2021-01-18 16:54:00,,Pennsylvania,570,"Calls pretending to be government, businesses, or family and friends",N
5707319378,2021-04-05 01:59:57,2021-01-18 10:44:00,,Pennsylvania,570,"Calls pretending to be government, businesses, or family and friends",N
3027818663,2021-04-05 02:01:31,2021-01-14 12:29:00,,Pennsylvania,570,"Lotteries, prizes  & sweepstakes",N
7157857574,2021-04-05 02:02:46,2021-01-14 09:17:00,,Pennsylvania,570,"Calls pretending to be government, businesses, or family and friends",N
5703937686,2021-04-05 02:04:22,2021-01-04 14:22:00,,Pennsylvania,570,"Calls pretending to be government, businesses, or family and friends",N
4155349969,2021-04-05 02:05:33,2021-04-03 00:00:00,San Francisco,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
5703937686,2021-04-05 02:05:39,2021-01-04 15:13:00,,Pennsylvania,570,"Calls pretending to be government, businesses, or family and friends",N
,2021-04-05 02:10:26,2021-04-03 12:07:00,San Francisco,California,415,Other,Y
3233662312,2021-04-05 02:23:02,2021-04-04 17:16:00,,California,323,Dropped call or no message,Y
3234062825,2021-04-05 02:24:32,2021-04-04 14:23:00,,California,323,Dropped call or no message,Y
3233569076,2021-04-05 02:26:25,2021-04-04 12:31:00,,California,323,Dropped call or no message,Y
3233528104,2021-04-05 02:28:34,2021-04-04 10:25:00,,California,323,Dropped call or no message,Y
3233882166,2021-04-05 02:30:06,2021-04-04 09:46:00,,California,323,Dropped call or no message,Y
,2021-04-05 02:39:47,2021-04-01 10:36:00,,Oklahoma,405,Other,Y
9107865325,2021-04-05 02:42:01,2021-04-01 10:14:00,,Oklahoma,405,Other,Y
1628666363,2021-04-05 02:43:22,2021-03-05 12:00:00,Euless,Texas,832,Other,N
5103968240,2021-04-05 02:57:08,2021-04-04 20:02:00,,California,510,Other,N
4089119408,2021-04-05 03:13:37,2021-04-02 15:27:00,San Jose,California,408,Dropped call or no message,N
2092705353,2021-04-05 03:14:06,2021-04-03 11:07:00,San Francisco,California,415,No Subject Provided,Y
5105885605,2021-04-05 03:24:16,2021-04-03 00:00:00,Citrus Heights,California,916,"Energy, solar,  & utilities",N
9547776258,2021-04-05 04:13:37,2021-04-02 15:13:00,parkland,Florida,954,Warranties  & protection plans,Y
7206140003,2021-04-05 04:15:50,2021-04-02 12:13:00,,California,949,Other,Y
9496969596,2021-04-05 04:16:41,2021-04-02 12:05:00,,California,949,Other,Y
3147401162,2021-04-05 04:17:27,2021-04-01 07:36:00,,California,949,Other,Y
7327769777,2021-04-05 04:17:30,2021-04-04 19:16:00,,New York,718,Other,Y
9293451232,2021-04-05 04:18:04,2021-04-03 13:58:00,,New York,718,Other,Y
2054094693,2021-04-05 04:18:52,2021-04-03 09:59:00,,New York,718,Other,Y
8884564055,2021-04-05 04:34:44,2015-01-01 12:00:00,Myrtle Beach,South Carolina,661,"Reducing your debt (credit cards, mortgage, student loans)",N
,2021-04-05 04:41:02,2021-04-03 12:45:00,Lenoir,North Carolina,704,"Calls pretending to be government, businesses, or family and friends",N
8476392176,2021-04-05 04:43:03,2021-04-01 14:20:00,Algonquin,Illinois,847,"Reducing your debt (credit cards, mortgage, student loans)",Y
2248880193,2021-04-05 04:44:45,2021-04-01 13:58:00,Algonquin,Illinois,224,Warranties  & protection plans,Y
9718004345,2021-04-05 04:49:31,2021-03-31 00:00:00,Algonquin,Oregon,971,"Reducing your debt (credit cards, mortgage, student loans)",Y
5012146893,2021-04-05 04:51:42,2021-04-02 14:00:00,Algonquin,Illinois,501,"Reducing your debt (credit cards, mortgage, student loans)",Y
3186687321,2021-04-05 04:54:16,2021-04-04 13:00:00,Algonquin,Illinois,318,"Reducing your debt (credit cards, mortgage, student loans)",Y
9014608578,2021-04-05 05:47:52,2021-03-31 11:02:00,,Tennessee,901,No Subject Provided,N
6103313229,2021-04-05 06:12:46,2021-04-02 19:25:00,DREXEL HILL,Pennsylvania,610,Other,Y
7734840189,2021-04-05 06:13:12,2021-04-02 00:00:00,,California,510,Other,Y
8009423767,2021-04-05 06:24:15,2021-04-05 05:32:00,Fayette,Maine,207,Work from home  & other ways to make money,Y
8145616171,2021-04-05 06:30:42,2021-04-02 09:48:00,,Pennsylvania,814,Other,N
